#,date,content,id,url,language (if we know),sentence-final? (Y/N),# of occurrence,humorous? (Y/N),sentence-final? (Y/N),# of occurrence,humorous? (Y/N),sentence-final? (Y/N),# of occurrence,humorous? (Y/N)
1,2022-02-19 23:59:43+00:00,@nasalamode Please go 😂😂😂😂😭😭😭😭😭😭😭😭😭😭😭😭😩,1495186366552068097,https://twitter.com/7lbkewchie/status/1495186366552068097,English,Y,12,N,,,,,,
2,2022-02-19 23:59:59+00:00,@IWASLIKEYOTRAYY I cried the whole time 😂😭,1495186432163520515,https://twitter.com/defnotTamHala/status/1495186432163520515,English,Y,1,Y,,,,,,
3,2022-02-19 23:59:51+00:00,"@xhelloxdarlingx i think you need at least one boy tho, mark would be so tired with a mini army of gloria’s 😂😭",1495186398562992128,https://twitter.com/TheDrugChild/status/1495186398562992128,English,Y,1,Y,,,,,,
4,2022-02-19 23:59:58+00:00,#ZENO I panic so much at the chase scenes 😂 aaaahhh!!! I think I'll watch a bit of a let's play now. I wish it was sold on switch... It's so much easier to handle controls for me if I'm on handheld. On PC I'm a disaster 😂😭,1495186428736655360,https://twitter.com/amaicherii/status/1495186428736655360,English,Y,1,Y,,,,,,
5,2022-02-19 23:59:54+00:00,Also y’all… I promise we played games. We just don’t have no sense once the liq hit 😭😂😂,1495186413729554435,https://twitter.com/LaBelle_Tiara/status/1495186413729554435,English,Y,1,Y,,,,,,
6,2022-02-19 23:59:56+00:00,She’s even happy and all 😭😂,1495186419643469826,https://twitter.com/EdwinEzeanya/status/1495186419643469826,English,Y,1,Y,,,,,,
7,2022-02-19 23:59:44+00:00,"snap not playing with us no more, we can’t even get a warning before they delete our shit 😭😂",1495186368020033542,https://twitter.com/detrujillo00/status/1495186368020033542,English,Y,1,Y,,,,,,
8,2022-02-19 23:59:54+00:00,@TaraIsSquatter Once again.....Tara😭😂😭😂,1495186413603729414,https://twitter.com/LuisBaynes/status/1495186413603729414,English,Y,2,Y,,,,,,
9,2022-02-19 23:59:45+00:00,@Oui_Cake My eyes start burning everytime i look at them 💀😭😭,1495186374483394571,https://twitter.com/ailuroph0bic/status/1495186374483394571,English,Y,2,Y,,,,,,
10,2022-02-19 23:59:53+00:00,@_zorosfav 😂😂 this is me. How can anyone not like #Naruto 😭😭😭 https://t.co/qN7nfj9K2a,1495186407060430853,https://twitter.com/HappyPandaLuv/status/1495186407060430853,English,Y,3,N,,,,,,
11,2022-02-19 23:59:57+00:00,@1800TYLERR I do too! I think Quinta did a great fucking job on this show and I’m REALLY hoping it gets renewed for another season 😭,1495186422961033216,https://twitter.com/BumbleVee__/status/1495186422961033216,English,Y,1,N,,,,,,
