#,date,content,id,url,language (if we know),sentence-final? (Y/N),# of occurrence,humorous? (Y/N)
1,2022-02-19 23:56:15+00:00,@PRAISEBIBLEFLY oh- 😭🗿,1495185494900195329,https://twitter.com/fanatmerayi/status/1495185494900195329,English,Y,1,N
2,2022-02-19 23:52:43+00:00,@sapshairhorns neither that's why I don't have it🗿😭,1495184604739039232,https://twitter.com/Sheakie__/status/1495184604739039232,English,Y,1,N
3,2022-02-19 23:47:53+00:00,@kneecourts OK STOP 🛑🛑🛑🛑 I MADE A MISTAKE 🗿🗿🗿🗿😭😭😭,1495183389284265984,https://twitter.com/Oatymeals/status/1495183389284265984,English,Y,4,N
4,2022-02-19 23:49:11+00:00,@Sniping_Soup Wait I didn’t send a dick pic to soup 😳💀💀🗿🦐,1495183715982585858,https://twitter.com/NFDEEZ2/status/1495183715982585858,English,Y,1,Y
5,2022-02-19 23:59:49+00:00,It has begun 🗿 https://t.co/sJBbR2hqbU https://t.co/AJ58Hf245N,1495186393101910022,https://twitter.com/CEOofEmiya/status/1495186393101910022,English,Y,1,N
6,2022-02-19 23:58:32+00:00,this is why y’all never get soft mama catra from kitty on time. y’all can’t read 🗿,1495186067993300996,https://twitter.com/mattiedoodles/status/1495186067993300996,English,Y,1,Y
7,2022-02-19 23:58:11+00:00,@TekHardy @SamBastion who needs parties when you have halo 🗿,1495185979283423232,https://twitter.com/shadoti2/status/1495185979283423232,English,Y,1,Y
8,2022-02-19 23:58:04+00:00,@ItsJustLiamm Twitter is creepy asf 🗿,1495185950602936323,https://twitter.com/LordScramble6/status/1495185950602936323,English,Y,1,N
9,2022-02-19 23:56:24+00:00,@aminjutsu It’s number one I’m afraid 🗿,1495185532258816001,https://twitter.com/kaio_9k/status/1495185532258816001,English,Y,1,N
10,2022-02-19 23:56:18+00:00,WW84 was a year and two months ago 🗿 https://t.co/WGk6Ktjlts,1495185507642400772,https://twitter.com/duh1011/status/1495185507642400772,English,Y,1,N
11,2022-02-19 23:55:18+00:00,@apollororo @Himawar92106819 @XavierLamarWar2 @justzoforit @KylianNeta Rip my notifs 🗿🗿🗿,1495185254063251458,https://twitter.com/Tobiraama_Senju/status/1495185254063251458,English,Y,3,N
12,2022-02-19 23:54:54+00:00,"@hagide2 @IMUEMv I was gonna comment about sharks, but then I noticed the image 🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿",1495185152485769219,https://twitter.com/PachePat/status/1495185152485769219,English,Y,12,Y
13,2022-02-19 23:54:24+00:00,@fanatmerayi you’re so🗿,1495185027109425157,https://twitter.com/PRAISEBIBLEFLY/status/1495185027109425157,English,Y,1,N
